"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"subject","integer",5982,0,250,123.867101303912,127,127,NA,72.349461865713,NA,1,250,249,-0.00852489235747194,-0.134621786108274,-1.1734986664335,-9.26726436626808,NA,NA
"stress_event","character",5982,0,3,NA,NA,4816,"No",NA,0.313850053447985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alc_yday","integer",5946,0.00601805416248746,12,2.2665657584931,2,2,NA,2.3968893940898,NA,0,10,10,1.0162534608361,15.9999412842947,0.512128220582248,4.03216230506063,NA,NA
"soft_yday","integer",5919,0.0105315947843531,12,1.9303936475756,1,1,NA,2.07673518465199,NA,0,10,10,1.4016968926523,22.0182439344301,2.06356241334974,16.2102403895584,NA,NA
"alc_today","integer",5982,0,11,0.850885991307255,0,0,NA,1.53022222380041,NA,0,10,10,2.23710529447319,35.3274971490158,5.7626050271037,45.5080058905051,NA,NA
"soft_today","integer",5982,0,11,1.39702440655299,1,1,NA,1.64516929689775,NA,0,10,10,1.48170236970091,23.3984678193814,2.31905941693735,18.3138995489092,NA,NA
"alc_intend","integer",5982,0,11,1.33216315613507,0,0,NA,1.79295243938164,NA,0,10,10,1.59600107667226,25.2034285669343,2.7329455447555,21.5824095811182,NA,NA
"soft_intend","integer",5982,0,10,0.770143764627215,0,0,NA,1.17808584259668,NA,0,10,10,1.93783702253809,30.6015689373677,4.61448416825909,36.4411532150976,NA,NA
"thirst_state","integer",5982,0,5,1.18689401537947,1,1,NA,1.1283648514797,NA,0,4,4,0.678767707192691,10.7188357651,-0.390172975675544,-3.08124433165998,NA,NA
"hunger_state","integer",5982,0,5,0.883483784687396,0,0,NA,1.13595081309836,NA,0,4,4,1.10785333927,17.4947892623914,0.203095984687002,1.60387415483156,NA,NA
"tired_state","integer",5982,0,5,1.62236710130391,2,2,NA,1.25070969867126,NA,0,4,4,0.261329065553029,4.12680701310201,-0.966485268705429,-7.63245391528057,NA,NA
