"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.231867633901965
"choice_prop","choice_prop_UMAP","forest",0.211248546043737
"choice_prop","choice_prop_raw","forest",0.190545093576935
"choice_prop","choice_prop_PCA","tree",0.261671422645123
"choice_prop","choice_prop_UMAP","tree",0.264165283166023
"choice_prop","choice_prop_raw","tree",0.246388045520785
"choice_prop","choice_prop_PCA","glmm",0.293306981339953
"choice_prop","choice_prop_UMAP","glmm",0.280915754387214
"choice_prop","choice_prop_raw","glmm",0.281570653884001
"median_rt","median_rt_PCA","forest",0.269535764998174
"median_rt","median_rt_UMAP","forest",0.256163032735329
"median_rt","median_rt_raw","forest",0.236720460713555
"median_rt","median_rt_PCA","tree",0.284211626200954
"median_rt","median_rt_UMAP","tree",0.283602516009313
"median_rt","median_rt_raw","tree",0.281853435359494
"median_rt","median_rt_PCA","glmm",0.284213966422919
"median_rt","median_rt_UMAP","glmm",0.284163109074568
"median_rt","median_rt_raw","glmm",0.285325356071233
"drift","drift_PCA","forest",0.283251972785431
"drift","drift_UMAP","forest",0.269694725011171
"drift","drift_raw","forest",0.252578364654078
"drift","drift_PCA","tree",0.30228337528309
"drift","drift_UMAP","tree",0.304213442545269
"drift","drift_raw","tree",0.301252082454143
"drift","drift_PCA","glmm",0.306912124500463
"drift","drift_UMAP","glmm",0.307080377403336
"drift","drift_raw","glmm",0.306009137163543
"alcbias","alcbias_PCA","forest",1.25280158657037
"alcbias","alcbias_UMAP","forest",1.15673289445405
"alcbias","alcbias_raw","forest",1.04160689729848
"alcbias","alcbias_PCA","tree",1.4115068727528
"alcbias","alcbias_UMAP","tree",1.4049577274863
"alcbias","alcbias_raw","tree",1.33242029137953
"alcbias","alcbias_PCA","glmm",1.61396771229197
"alcbias","alcbias_UMAP","glmm",1.56304076168882
"alcbias","alcbias_raw","glmm",1.55610524605353
"B","B_PCA","forest",0.30877198709981
"B","B_UMAP","forest",0.296921055510281
"B","B_raw","forest",0.289733929716685
"B","B_PCA","tree",0.317239454128873
"B","B_UMAP","tree",0.316687633292392
"B","B_raw","tree",0.317458015730977
"B","B_PCA","glmm",0.316317742760918
"B","B_UMAP","glmm",0.316327600145835
"B","B_raw","glmm",0.316104475430095
