"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.23345873930806
"choice_prop","choice_prop_UMAP","forest",0.213242417185055
"choice_prop","choice_prop_raw","forest",0.191917534111963
"choice_prop","choice_prop_PCA","tree",0.261806778858122
"choice_prop","choice_prop_UMAP","tree",0.267681355830563
"choice_prop","choice_prop_raw","tree",0.245674376721488
"choice_prop","choice_prop_PCA","glmm",0.3069863720044
"choice_prop","choice_prop_UMAP","glmm",0.281429232281034
"choice_prop","choice_prop_raw","glmm",0.288524596607237
"median_rt","median_rt_PCA","forest",0.270232779322678
"median_rt","median_rt_UMAP","forest",0.255918174248622
"median_rt","median_rt_raw","forest",0.238262886211066
"median_rt","median_rt_PCA","tree",0.284320369007919
"median_rt","median_rt_UMAP","tree",0.281180799642717
"median_rt","median_rt_raw","tree",0.282798387305961
"median_rt","median_rt_PCA","glmm",0.284338848608311
"median_rt","median_rt_UMAP","glmm",0.28350412761691
"median_rt","median_rt_raw","glmm",0.290543260887864
"drift","drift_PCA","forest",0.284834204363603
"drift","drift_UMAP","forest",0.270327969884934
"drift","drift_raw","forest",0.255464820334577
"drift","drift_PCA","tree",0.301955418941986
"drift","drift_UMAP","tree",0.303874847742569
"drift","drift_raw","tree",0.301069055623913
"drift","drift_PCA","glmm",0.306337054893665
"drift","drift_UMAP","glmm",0.304687088875909
"drift","drift_raw","glmm",0.307644619196092
"alcbias","alcbias_PCA","forest",1.26677736511019
"alcbias","alcbias_UMAP","forest",1.17363682799429
"alcbias","alcbias_raw","forest",1.05148076067506
"alcbias","alcbias_PCA","tree",1.41196703542357
"alcbias","alcbias_UMAP","tree",1.43393688104604
"alcbias","alcbias_raw","tree",1.34847806022438
"alcbias","alcbias_PCA","glmm",1.7564952140471
"alcbias","alcbias_UMAP","glmm",1.58221719230426
"alcbias","alcbias_raw","glmm",1.57362943215499
"B","B_PCA","forest",0.309158521742839
"B","B_UMAP","forest",0.298888518721021
"B","B_raw","forest",0.290504488816271
"B","B_PCA","tree",0.317189236291836
"B","B_UMAP","tree",0.314899653694265
"B","B_raw","tree",0.317206039685658
"B","B_PCA","glmm",0.316182821869661
"B","B_UMAP","glmm",0.316141210985759
"B","B_raw","glmm",0.315995641489204
