"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.234157936184926
"choice_prop","choice_prop_UMAP","forest",0.214881186232045
"choice_prop","choice_prop_raw","forest",0.192698055008175
"choice_prop","choice_prop_PCA","tree",0.261635916904798
"choice_prop","choice_prop_UMAP","tree",0.263912294470397
"choice_prop","choice_prop_raw","tree",0.246062299643393
"choice_prop","choice_prop_PCA","glmm",0.314436234860715
"choice_prop","choice_prop_UMAP","glmm",0.277931788368153
"choice_prop","choice_prop_raw","glmm",0.303879594015201
"median_rt","median_rt_PCA","forest",0.271027827092553
"median_rt","median_rt_UMAP","forest",0.2564685709397
"median_rt","median_rt_raw","forest",0.238866256100611
"median_rt","median_rt_PCA","tree",0.284202574327176
"median_rt","median_rt_UMAP","tree",0.28254716493632
"median_rt","median_rt_raw","tree",0.282719076080304
"median_rt","median_rt_PCA","glmm",0.284588628306521
"median_rt","median_rt_UMAP","glmm",0.284846112160364
"median_rt","median_rt_raw","glmm",0.291385992988337
"drift","drift_PCA","forest",0.285829284119331
"drift","drift_UMAP","forest",0.272897009152772
"drift","drift_raw","forest",0.25637440683137
"drift","drift_PCA","tree",0.302057804166326
"drift","drift_UMAP","tree",0.30441651545578
"drift","drift_raw","tree",0.30155486292784
"drift","drift_PCA","glmm",0.308325376832378
"drift","drift_UMAP","glmm",0.313196739546669
"drift","drift_raw","glmm",0.311426329109198
"alcbias","alcbias_PCA","forest",1.26960944657551
"alcbias","alcbias_UMAP","forest",1.18212934811402
"alcbias","alcbias_raw","forest",1.05457833217063
"alcbias","alcbias_PCA","tree",1.41877666204321
"alcbias","alcbias_UMAP","tree",1.42640035393488
"alcbias","alcbias_raw","tree",1.34820870966927
"alcbias","alcbias_PCA","glmm",1.75767016712562
"alcbias","alcbias_UMAP","glmm",1.60297398146953
"alcbias","alcbias_raw","glmm",1.68865450264927
"B","B_PCA","forest",0.310360802787941
"B","B_UMAP","forest",0.298949564830977
"B","B_raw","forest",0.29129561786379
"B","B_PCA","tree",0.317329672651689
"B","B_UMAP","tree",0.314209300317465
"B","B_raw","tree",0.317769730538977
"B","B_PCA","glmm",0.316651610610788
"B","B_UMAP","glmm",0.316736863444177
"B","B_raw","glmm",0.316392405144643
