"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.231035702969524
"choice_prop","choice_prop_UMAP","forest",0.211592113500341
"choice_prop","choice_prop_raw","forest",0.19068417555407
"choice_prop","choice_prop_PCA","tree",0.261292245249264
"choice_prop","choice_prop_UMAP","tree",0.264924700181732
"choice_prop","choice_prop_raw","tree",0.245946453664035
"choice_prop","choice_prop_PCA","glmm",0.315471169707955
"choice_prop","choice_prop_UMAP","glmm",0.286738006890577
"choice_prop","choice_prop_raw","glmm",0.280924966680788
"median_rt","median_rt_PCA","forest",0.269606029162102
"median_rt","median_rt_UMAP","forest",0.255266798712953
"median_rt","median_rt_raw","forest",0.237545438537618
"median_rt","median_rt_PCA","tree",0.284198645701707
"median_rt","median_rt_UMAP","tree",0.284198645701707
"median_rt","median_rt_raw","tree",0.280949819039096
"median_rt","median_rt_PCA","glmm",0.285501448374478
"median_rt","median_rt_UMAP","glmm",0.286468218930266
"median_rt","median_rt_raw","glmm",0.285307685860182
"drift","drift_PCA","forest",0.283331705404077
"drift","drift_UMAP","forest",0.269067403937734
"drift","drift_raw","forest",0.25223953273827
"drift","drift_PCA","tree",0.301945914141126
"drift","drift_UMAP","tree",0.301382849650542
"drift","drift_raw","tree",0.301429524228946
"drift","drift_PCA","glmm",0.306694575659161
"drift","drift_UMAP","glmm",0.303567751929093
"drift","drift_raw","glmm",0.30593396637708
"alcbias","alcbias_PCA","forest",1.24428688762421
"alcbias","alcbias_UMAP","forest",1.15020940953524
"alcbias","alcbias_raw","forest",1.04023990113798
"alcbias","alcbias_PCA","tree",1.39501454779078
"alcbias","alcbias_UMAP","tree",1.40696084036171
"alcbias","alcbias_raw","tree",1.323713086288
"alcbias","alcbias_PCA","glmm",1.76922941534193
"alcbias","alcbias_UMAP","glmm",1.59968767135666
"alcbias","alcbias_raw","glmm",1.54317490278876
"B","B_PCA","forest",0.309114564172618
"B","B_UMAP","forest",0.299473567792083
"B","B_raw","forest",0.290212310099076
"B","B_PCA","tree",0.318336935648107
"B","B_UMAP","tree",0.318410255785798
"B","B_raw","tree",0.318410255785798
"B","B_PCA","glmm",0.317166349988029
"B","B_UMAP","glmm",0.317300344429117
"B","B_raw","glmm",0.317313654723892
