"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.233062187674738
"choice_prop","choice_prop_UMAP","forest",0.213556875605997
"choice_prop","choice_prop_raw","forest",0.191872599767991
"choice_prop","choice_prop_PCA","tree",0.261742935471568
"choice_prop","choice_prop_UMAP","tree",0.266155501717814
"choice_prop","choice_prop_raw","tree",0.246474389507342
"choice_prop","choice_prop_PCA","glmm",0.297073313123738
"choice_prop","choice_prop_UMAP","glmm",0.2754009962798
"choice_prop","choice_prop_raw","glmm",0.292826135202467
"median_rt","median_rt_PCA","forest",0.269803609245196
"median_rt","median_rt_UMAP","forest",0.25640648603528
"median_rt","median_rt_raw","forest",0.237242974066866
"median_rt","median_rt_PCA","tree",0.284215973477632
"median_rt","median_rt_UMAP","tree",0.279487936875665
"median_rt","median_rt_raw","tree",0.281972446725837
"median_rt","median_rt_PCA","glmm",0.284463873458525
"median_rt","median_rt_UMAP","glmm",0.284103551683179
"median_rt","median_rt_raw","glmm",0.287582692000484
"drift","drift_PCA","forest",0.282675680326842
"drift","drift_UMAP","forest",0.270222318766062
"drift","drift_raw","forest",0.254128943068572
"drift","drift_PCA","tree",0.302641547785484
"drift","drift_UMAP","tree",0.304585952105443
"drift","drift_raw","tree",0.303503711927884
"drift","drift_PCA","glmm",0.306685449533226
"drift","drift_UMAP","glmm",0.305740716063558
"drift","drift_raw","glmm",0.309681216947995
"alcbias","alcbias_PCA","forest",1.26723472819338
"alcbias","alcbias_UMAP","forest",1.16791926257409
"alcbias","alcbias_raw","forest",1.05179771381244
"alcbias","alcbias_PCA","tree",1.41836299641101
"alcbias","alcbias_UMAP","tree",1.42179045787605
"alcbias","alcbias_raw","tree",1.3462592485207
"alcbias","alcbias_PCA","glmm",1.74915503806288
"alcbias","alcbias_UMAP","glmm",1.49825102147384
"alcbias","alcbias_raw","glmm",1.57373966237353
"B","B_PCA","forest",0.335474759881754
"B","B_UMAP","forest",0.323041518530061
"B","B_raw","forest",0.315930786331735
"B","B_PCA","tree",0.344941548769915
"B","B_UMAP","tree",0.344941548769915
"B","B_raw","tree",0.344941548769915
"B","B_PCA","glmm",0.344367048384322
"B","B_UMAP","glmm",0.344060588718538
"B","B_raw","glmm",0.344169008263424
