"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.234640158111844
"choice_prop","choice_prop_UMAP","forest",0.215006023086327
"choice_prop","choice_prop_raw","forest",0.192685596915176
"choice_prop","choice_prop_PCA","tree",0.26174746102202
"choice_prop","choice_prop_UMAP","tree",0.264751037218453
"choice_prop","choice_prop_raw","tree",0.246333840253566
"choice_prop","choice_prop_PCA","glmm",0.310642190576512
"choice_prop","choice_prop_UMAP","glmm",0.283096914662114
"choice_prop","choice_prop_raw","glmm",0.303787129996515
"median_rt","median_rt_PCA","forest",0.27057854978799
"median_rt","median_rt_UMAP","forest",0.257718618782332
"median_rt","median_rt_raw","forest",0.238906727105048
"median_rt","median_rt_PCA","tree",0.284262486883752
"median_rt","median_rt_UMAP","tree",0.283592365033075
"median_rt","median_rt_raw","tree",0.282631843572349
"median_rt","median_rt_PCA","glmm",0.284888044327546
"median_rt","median_rt_UMAP","glmm",0.284157666853734
"median_rt","median_rt_raw","glmm",0.289559993531286
"drift","drift_PCA","forest",0.285848036441583
"drift","drift_UMAP","forest",0.271358832260575
"drift","drift_raw","forest",0.256605572877071
"drift","drift_PCA","tree",0.301873263655072
"drift","drift_UMAP","tree",0.303743645494554
"drift","drift_raw","tree",0.301625757710596
"drift","drift_PCA","glmm",0.307680362748127
"drift","drift_UMAP","glmm",0.314211472434126
"drift","drift_raw","glmm",0.30975828356837
"alcbias","alcbias_PCA","forest",1.27034945190553
"alcbias","alcbias_UMAP","forest",1.18425920184136
"alcbias","alcbias_raw","forest",1.05442379516775
"alcbias","alcbias_PCA","tree",1.40872956201853
"alcbias","alcbias_UMAP","tree",1.41059257523567
"alcbias","alcbias_raw","tree",1.34632647257386
"alcbias","alcbias_PCA","glmm",1.72901131459755
"alcbias","alcbias_UMAP","glmm",1.58051553699569
"alcbias","alcbias_raw","glmm",1.69648699022111
"B","B_PCA","forest",0.309693289155218
"B","B_UMAP","forest",0.298621038649122
"B","B_raw","forest",0.290942109625591
"B","B_PCA","tree",0.317279754293514
"B","B_UMAP","tree",0.317279754293514
"B","B_raw","tree",0.317279754293514
"B","B_PCA","glmm",0.316120064472989
"B","B_UMAP","glmm",0.31620979349948
"B","B_raw","glmm",0.316314825412122
