"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.233739079334337
"choice_prop","choice_prop_UMAP","forest",0.214053205181604
"choice_prop","choice_prop_raw","forest",0.192967224639675
"choice_prop","choice_prop_PCA","tree",0.259966363078132
"choice_prop","choice_prop_UMAP","tree",0.264762961503825
"choice_prop","choice_prop_raw","tree",0.244459323013643
"choice_prop","choice_prop_PCA","glmm",0.315315689666105
"choice_prop","choice_prop_UMAP","glmm",0.289579967596625
"choice_prop","choice_prop_raw","glmm",0.287213945754105
"median_rt","median_rt_PCA","forest",0.271315353138216
"median_rt","median_rt_UMAP","forest",0.259233462751311
"median_rt","median_rt_raw","forest",0.237765598375312
"median_rt","median_rt_PCA","tree",0.28420829270887
"median_rt","median_rt_UMAP","tree",0.280248384290908
"median_rt","median_rt_raw","tree",0.282789593545438
"median_rt","median_rt_PCA","glmm",0.2848288096086
"median_rt","median_rt_UMAP","glmm",0.284268161763636
"median_rt","median_rt_raw","glmm",0.291367053108053
"drift","drift_PCA","forest",0.286635008684773
"drift","drift_UMAP","forest",0.274006112377245
"drift","drift_raw","forest",0.255809656338241
"drift","drift_PCA","tree",0.302591037239298
"drift","drift_UMAP","tree",0.30431720545934
"drift","drift_raw","tree",0.301897798669971
"drift","drift_PCA","glmm",0.308295064553226
"drift","drift_UMAP","glmm",0.308330526770938
"drift","drift_raw","glmm",0.311380023603102
"alcbias","alcbias_PCA","forest",1.27013877047581
"alcbias","alcbias_UMAP","forest",1.170744055071
"alcbias","alcbias_raw","forest",1.058957067358
"alcbias","alcbias_PCA","tree",1.42033279646854
"alcbias","alcbias_UMAP","tree",1.42830200314137
"alcbias","alcbias_raw","tree",1.34776094445799
"alcbias","alcbias_PCA","glmm",1.75033109839455
"alcbias","alcbias_UMAP","glmm",1.53597437582162
"alcbias","alcbias_raw","glmm",1.57034416974015
"B","B_PCA","forest",0.317204226009672
"B","B_UMAP","forest",0.306569589777237
"B","B_raw","forest",0.297606566634893
"B","B_PCA","tree",0.324043175323282
"B","B_UMAP","tree",0.324043175323282
"B","B_raw","tree",0.324043175323282
"B","B_PCA","glmm",0.323063374032577
"B","B_UMAP","glmm",0.322388051600045
"B","B_raw","glmm",0.32309649603533
