"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.230293398163792
"choice_prop","choice_prop_UMAP","forest",0.212042623960331
"choice_prop","choice_prop_raw","forest",0.190748276163239
"choice_prop","choice_prop_PCA","tree",0.261060146833264
"choice_prop","choice_prop_UMAP","tree",0.261000910595929
"choice_prop","choice_prop_raw","tree",0.246483514071903
"choice_prop","choice_prop_PCA","glmm",0.29202977858971
"choice_prop","choice_prop_UMAP","glmm",0.283999630396372
"choice_prop","choice_prop_raw","glmm",0.281483754025869
"median_rt","median_rt_PCA","forest",0.270042904908667
"median_rt","median_rt_UMAP","forest",0.256083659231248
"median_rt","median_rt_raw","forest",0.237744817900785
"median_rt","median_rt_PCA","tree",0.284194303475761
"median_rt","median_rt_UMAP","tree",0.283193466166755
"median_rt","median_rt_raw","tree",0.282623220760141
"median_rt","median_rt_PCA","glmm",0.285337977298208
"median_rt","median_rt_UMAP","glmm",0.283213776011875
"median_rt","median_rt_raw","glmm",0.285395819122584
"drift","drift_PCA","forest",0.284751481422737
"drift","drift_UMAP","forest",0.270439611681569
"drift","drift_raw","forest",0.254950961862999
"drift","drift_PCA","tree",0.302581509257725
"drift","drift_UMAP","tree",0.304477539916102
"drift","drift_raw","tree",0.301492997017411
"drift","drift_PCA","glmm",0.307460757101955
"drift","drift_UMAP","glmm",0.311918399878463
"drift","drift_raw","glmm",0.306325396056741
"alcbias","alcbias_PCA","forest",1.24809796074806
"alcbias","alcbias_UMAP","forest",1.15758171314883
"alcbias","alcbias_raw","forest",1.04248041071612
"alcbias","alcbias_PCA","tree",1.40691581107389
"alcbias","alcbias_UMAP","tree",1.44127894212331
"alcbias","alcbias_raw","tree",1.33843077340834
"alcbias","alcbias_PCA","glmm",1.60885938437505
"alcbias","alcbias_UMAP","glmm",1.48479657333344
"alcbias","alcbias_raw","glmm",1.54007951839115
"B","B_PCA","forest",0.310434884297731
"B","B_UMAP","forest",0.300435691296249
"B","B_raw","forest",0.291446763126224
"B","B_PCA","tree",0.31947907168047
"B","B_UMAP","tree",0.317853550781796
"B","B_raw","tree",0.31947907168047
"B","B_PCA","glmm",0.318410179915297
"B","B_UMAP","glmm",0.318313268973082
"B","B_raw","glmm",0.318310007138965
