"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.233170939425692
"choice_prop","choice_prop_UMAP","forest",0.212978714538334
"choice_prop","choice_prop_raw","forest",0.191768484683925
"choice_prop","choice_prop_PCA","tree",0.263016940046886
"choice_prop","choice_prop_UMAP","tree",0.262888524773396
"choice_prop","choice_prop_raw","tree",0.246553145472518
"choice_prop","choice_prop_PCA","glmm",0.309710063537914
"choice_prop","choice_prop_UMAP","glmm",0.284053272947906
"choice_prop","choice_prop_raw","glmm",0.286695638370484
"median_rt","median_rt_PCA","forest",0.269839741376638
"median_rt","median_rt_UMAP","forest",0.256099138143777
"median_rt","median_rt_raw","forest",0.238424445239335
"median_rt","median_rt_PCA","tree",0.284207658110906
"median_rt","median_rt_UMAP","tree",0.282640967100933
"median_rt","median_rt_raw","tree",0.282954790373906
"median_rt","median_rt_PCA","glmm",0.284496163165774
"median_rt","median_rt_UMAP","glmm",0.285391178863707
"median_rt","median_rt_raw","glmm",0.290439401300806
"drift","drift_PCA","forest",0.284935664136977
"drift","drift_UMAP","forest",0.270457466788287
"drift","drift_raw","forest",0.256038515864038
"drift","drift_PCA","tree",0.301141472690226
"drift","drift_UMAP","tree",0.303293019310466
"drift","drift_raw","tree",0.301311215112037
"drift","drift_PCA","glmm",0.308382645256106
"drift","drift_UMAP","glmm",0.305023842185257
"drift","drift_raw","glmm",0.307918731304594
"alcbias","alcbias_PCA","forest",1.26391155638629
"alcbias","alcbias_UMAP","forest",1.16892454486275
"alcbias","alcbias_raw","forest",1.04955205930764
"alcbias","alcbias_PCA","tree",1.42281626729061
"alcbias","alcbias_UMAP","tree",1.42335108801656
"alcbias","alcbias_raw","tree",1.34944999490661
"alcbias","alcbias_PCA","glmm",1.77235605248426
"alcbias","alcbias_UMAP","glmm",1.58311796704677
"alcbias","alcbias_raw","glmm",1.56349220571981
"B","B_PCA","forest",0.311675068726836
"B","B_UMAP","forest",0.3017288088308
"B","B_raw","forest",0.292854437229944
"B","B_PCA","tree",0.319160360359682
"B","B_UMAP","tree",0.31931367967251
"B","B_raw","tree",0.318353406280154
"B","B_PCA","glmm",0.318292480575154
"B","B_UMAP","glmm",0.318204557315057
"B","B_raw","glmm",0.318311729905067
