"outcome","model","method","rmse"
"choice_prop","choice_prop_PCA","forest",0.233755623999392
"choice_prop","choice_prop_UMAP","forest",0.215243458188351
"choice_prop","choice_prop_raw","forest",0.192446489098526
"choice_prop","choice_prop_PCA","tree",0.262290414810836
"choice_prop","choice_prop_UMAP","tree",0.258383983792813
"choice_prop","choice_prop_raw","tree",0.246143483490365
"choice_prop","choice_prop_PCA","glmm",0.315181616763584
"choice_prop","choice_prop_UMAP","glmm",0.282305576670343
"choice_prop","choice_prop_raw","glmm",0.303875401589244
"median_rt","median_rt_PCA","forest",0.271234447193744
"median_rt","median_rt_UMAP","forest",0.257294749537454
"median_rt","median_rt_raw","forest",0.238466771309455
"median_rt","median_rt_PCA","tree",0.284281182395152
"median_rt","median_rt_UMAP","tree",0.281897722114992
"median_rt","median_rt_raw","tree",0.282651893005277
"median_rt","median_rt_PCA","glmm",0.284699332808914
"median_rt","median_rt_UMAP","glmm",0.283925296837153
"median_rt","median_rt_raw","glmm",0.290211848671359
"drift","drift_PCA","forest",0.285726028213958
"drift","drift_UMAP","forest",0.27250155153968
"drift","drift_raw","forest",0.256734407840673
"drift","drift_PCA","tree",0.302670999086621
"drift","drift_UMAP","tree",0.304603369280729
"drift","drift_raw","tree",0.301569583014604
"drift","drift_PCA","glmm",0.307780272699414
"drift","drift_UMAP","glmm",0.304099549424863
"drift","drift_raw","glmm",0.311306884713482
"alcbias","alcbias_PCA","forest",1.26862897656605
"alcbias","alcbias_UMAP","forest",1.18062723773698
"alcbias","alcbias_raw","forest",1.05292747723877
"alcbias","alcbias_PCA","tree",1.40876876848865
"alcbias","alcbias_UMAP","tree",1.42272581447308
"alcbias","alcbias_raw","tree",1.34620534517729
"alcbias","alcbias_PCA","glmm",1.75149719573305
"alcbias","alcbias_UMAP","glmm",1.57092161278487
"alcbias","alcbias_raw","glmm",1.6982408731031
"B","B_PCA","forest",0.313405946681583
"B","B_UMAP","forest",0.302057126098889
"B","B_raw","forest",0.292602843816254
"B","B_PCA","tree",0.32024528411944
"B","B_UMAP","tree",0.319652617102499
"B","B_raw","tree",0.32024528411944
"B","B_PCA","glmm",0.319223455043603
"B","B_UMAP","glmm",0.319294710274112
"B","B_raw","glmm",0.319180420771976
