"outcome","predictor","variable","h_squared"
"choice_prop","stress_binary","alc_craving",0.12101572718444
"choice_prop","stress_binary","alc_intend",0.0836121773979903
"choice_prop","stress_binary","alc_today",0.0499664685107703
"choice_prop","stress_binary","alc_exp_relaxedYes",0.043539300617327
"choice_prop","stress_binary","alc_yday",0.0325178015554626
"choice_prop","stress_binary","soft_yday",0.0297285391702993
"choice_prop","stress_binary","soft_intend",0.026371593269364
"choice_prop","stress_binary","tired_state",0.0262544793153958
"choice_prop","stress_binary","soft_today",0.0255661136018733
"choice_prop","stress_binary","stress_binary",0.0225083021565995
"choice_prop","stress_binary","soft_craving",0.0209212144719761
"choice_prop","stress_binary","alc_mot_enhanceYes",0.0203082784672553
"choice_prop","stress_binary","bored_state",0.018153680118703
"choice_prop","stress_binary","alc_cuenone",0.0163241490980525
"choice_prop","stress_binary","time_of_dayevening",0.0150670593741697
"choice_prop","stress_binary","thirst_state",0.0122302778584108
"choice_prop","stress_binary","alc_exp_buzzYes",0.00878308927673108
"choice_prop","stress_binary","alc_exp_better_moodYes",0.0086718287395072
"choice_prop","stress_binary","hunger_state",0.00842779616582306
"choice_prop","stress_binary","social_context_romantic_partnerYes",0.0063604200223131
"choice_prop","stress_binary","social_context_familyYes",0.00605131908136467
"choice_prop","stress_binary","alc_exp_sociableYes",0.00594451155649183
"choice_prop","stress_binary","responsibilityYes",0.00585694856864024
"choice_prop","stress_binary","alc_exp_embarrassedYes",0.00560451949101121
"choice_prop","stress_binary","alc_mot_copingYes",0.00494769306558035
"choice_prop","stress_binary","social_context_aloneYes",0.00438590183586531
"choice_prop","stress_binary","locationschool_work",0.00398712416307236
"choice_prop","stress_binary","alc_exp_be_rudeYes",0.00341550351481487
"choice_prop","stress_binary","locationhome",0.00329286216780841
"choice_prop","stress_binary","alc_exp_hangoverYes",0.00321579266583289
"choice_prop","stress_binary","day_of_weekTue",0.00279725878165528
"choice_prop","stress_binary","locationother",0.00166722859799906
"choice_prop","stress_binary","day_of_weekWed",0.00146036073023197
"choice_prop","stress_binary","day_of_weekSun",0.00118647341822189
"choice_prop","stress_binary","day_of_weekThu",0.00114457670724296
"choice_prop","stress_binary","day_of_weekSat",0.00110363720747024
"choice_prop","stress_binary","day_of_weekMon",0.00106858897783635
"choice_prop","stress_binary","alc_exp_energeticYes",0.00101760094643554
"choice_prop","stress_binary","alc_mot_socialYes",0.000970966502776762
"choice_prop","stress_binary","locationoutdoors",0.000791887291615716
"choice_prop","stress_binary","social_context_coworker_classmateYes",0.000778742309546713
"choice_prop","stress_binary","alc_exp_nauseous_vomitYes",0.000421012495794708
"choice_prop","stress_binary","social_context_friend_roommateYes",0.000368214643688574
"choice_prop","stress_binary","locationrestaurant_cafe",0.000290393178465648
"choice_prop","stress_binary","alc_cueindirectly_visible",0.000229315446549783
"choice_prop","stress_binary","social_context_strangerYes",0.000218187181222841
"choice_prop","stress_binary","alc_exp_injuryYes",0.000191513567883495
"choice_prop","stress_binary","locationsomeone_elses_home",0.000152977660190869
"choice_prop","stress_binary","social_context_otherYes",4.57688835584451e-05
"choice_prop","stress_state","alc_craving",0.14907781147679
"choice_prop","stress_state","alc_intend",0.0905712946892357
"choice_prop","stress_state","alc_exp_relaxedYes",0.0433832405866555
"choice_prop","stress_state","alc_today",0.0430333251651129
"choice_prop","stress_state","soft_intend",0.0334726920610793
"choice_prop","stress_state","alc_yday",0.0292520850860888
"choice_prop","stress_state","soft_yday",0.0278088622536384
"choice_prop","stress_state","soft_craving",0.0242826011757725
"choice_prop","stress_state","tired_state",0.0241173115369936
"choice_prop","stress_state","bored_state",0.0218003255447892
"choice_prop","stress_state","alc_mot_enhanceYes",0.019013103310011
"choice_prop","stress_state","time_of_dayevening",0.0172935222545617
"choice_prop","stress_state","soft_today",0.0147673023513921
"choice_prop","stress_state","stress_state",0.0140338137640581
"choice_prop","stress_state","thirst_state",0.0114559284100637
"choice_prop","stress_state","alc_cuenone",0.011024493288398
"choice_prop","stress_state","social_context_romantic_partnerYes",0.00969532236868103
"choice_prop","stress_state","alc_exp_better_moodYes",0.00954092307048148
"choice_prop","stress_state","alc_exp_hangoverYes",0.0093171249544683
"choice_prop","stress_state","hunger_state",0.0092880315787608
"choice_prop","stress_state","alc_exp_buzzYes",0.00693282024056161
"choice_prop","stress_state","alc_exp_embarrassedYes",0.00641338559895883
"choice_prop","stress_state","responsibilityYes",0.00537885476332798
"choice_prop","stress_state","social_context_familyYes",0.00495740416694561
"choice_prop","stress_state","locationschool_work",0.00453754190692892
"choice_prop","stress_state","alc_exp_sociableYes",0.00436138458131754
"choice_prop","stress_state","alc_mot_copingYes",0.0041569413771432
"choice_prop","stress_state","alc_exp_be_rudeYes",0.00402740232854078
"choice_prop","stress_state","social_context_aloneYes",0.00380176302660388
"choice_prop","stress_state","locationhome",0.00370546630934209
"choice_prop","stress_state","day_of_weekTue",0.00236472500935625
"choice_prop","stress_state","locationother",0.00208880518688393
"choice_prop","stress_state","day_of_weekSun",0.00159785213871589
"choice_prop","stress_state","day_of_weekThu",0.00155659237658658
"choice_prop","stress_state","day_of_weekMon",0.00153643753321763
"choice_prop","stress_state","alc_exp_energeticYes",0.00132272953474841
"choice_prop","stress_state","alc_mot_socialYes",0.00125877804438478
"choice_prop","stress_state","day_of_weekWed",0.000864150325470309
"choice_prop","stress_state","day_of_weekSat",0.00069784624701918
"choice_prop","stress_state","social_context_friend_roommateYes",0.000583699292932686
"choice_prop","stress_state","locationsomeone_elses_home",0.000487631596190044
"choice_prop","stress_state","locationoutdoors",0.000426634617532709
"choice_prop","stress_state","alc_exp_nauseous_vomitYes",0.000389134356727523
"choice_prop","stress_state","social_context_coworker_classmateYes",0.000378522745009094
"choice_prop","stress_state","alc_cueindirectly_visible",0.000239241479928106
"choice_prop","stress_state","alc_exp_injuryYes",0.000213059487804443
"choice_prop","stress_state","social_context_strangerYes",0.000135707878204129
"choice_prop","stress_state","locationrestaurant_cafe",9.34938402062422e-05
"choice_prop","stress_state","social_context_otherYes",9.18952312029017e-05
"choice_prop","NA_state","alc_craving",0.118997587607441
"choice_prop","NA_state","alc_intend",0.0739196920918491
"choice_prop","NA_state","alc_today",0.0386239532184643
"choice_prop","NA_state","alc_exp_relaxedYes",0.0346285785912817
"choice_prop","NA_state","alc_yday",0.027860856668069
"choice_prop","NA_state","soft_intend",0.0269865738004305
"choice_prop","NA_state","soft_yday",0.0246995090015809
"choice_prop","NA_state","tired_state",0.0222259952360351
"choice_prop","NA_state","soft_craving",0.0196018088687819
"choice_prop","NA_state","alc_mot_enhanceYes",0.0188874674171916
"choice_prop","NA_state","bored_state",0.0160673063523855
"choice_prop","NA_state","time_of_dayevening",0.0159677479093672
"choice_prop","NA_state","alc_exp_better_moodYes",0.0143363481698999
"choice_prop","NA_state","NA_state",0.0143009313772467
"choice_prop","NA_state","alc_cuenone",0.0136638402336642
"choice_prop","NA_state","soft_today",0.0136105907443981
"choice_prop","NA_state","thirst_state",0.0124296753699006
"choice_prop","NA_state","alc_exp_buzzYes",0.0105338632357365
"choice_prop","NA_state","social_context_romantic_partnerYes",0.00825308528387267
