"outcome","predictor","variable","h_squared"
"choice_prop","stress_binary","soft_yday:tired_state",0.144254938987209
"choice_prop","stress_binary","soft_intend:alc_exp_relaxedYes",0.11268701842445
"choice_prop","stress_binary","alc_yday:tired_state",0.0859894198148291
"choice_prop","stress_binary","soft_yday:soft_today",0.0805891353448851
"choice_prop","stress_binary","soft_today:alc_exp_relaxedYes",0.0701265805879692
"choice_prop","stress_binary","alc_yday:alc_exp_relaxedYes",0.0658604456153592
"choice_prop","stress_binary","soft_today:tired_state",0.0569150368485255
"choice_prop","stress_binary","soft_yday:alc_exp_relaxedYes",0.0499801421685897
"choice_prop","stress_binary","tired_state:alc_exp_relaxedYes",0.0153449985394457
"choice_prop","stress_binary","alc_intend:alc_exp_relaxedYes",0.0139030922379881
"choice_prop","stress_binary","alc_today:soft_today",0.0136769106414229
"choice_prop","stress_binary","alc_yday:soft_intend",0.0133246191916186
"choice_prop","stress_binary","stress_binary:soft_yday",0.0129945134546994
"choice_prop","stress_binary","alc_today:alc_intend",0.0112328477956679
"choice_prop","stress_binary","alc_yday:soft_today",0.0110548102411236
"choice_prop","stress_binary","alc_yday:soft_yday",0.0109748513298003
"choice_prop","stress_binary","stress_binary:tired_state",0.0106958159648585
"choice_prop","stress_binary","alc_yday:alc_today",0.0106341025527639
"choice_prop","stress_binary","alc_intend:tired_state",0.0101460210663482
"choice_prop","stress_binary","alc_today:alc_exp_relaxedYes",0.0100886099801043
"choice_prop","stress_binary","soft_yday:alc_today",0.00993784056863562
"choice_prop","stress_binary","alc_yday:alc_craving",0.00987849686912959
"choice_prop","stress_binary","alc_today:tired_state",0.00892218704694899
"choice_prop","stress_binary","soft_yday:soft_intend",0.00879996333275693
"choice_prop","stress_binary","soft_today:soft_intend",0.00873418557538629
"choice_prop","stress_binary","stress_binary:alc_intend",0.00798600287359666
"choice_prop","stress_binary","alc_intend:soft_intend",0.00726959054614482
"choice_prop","stress_binary","soft_yday:alc_craving",0.00702699953539514
"choice_prop","stress_binary","alc_today:alc_craving",0.00680554969878342
"choice_prop","stress_binary","soft_intend:tired_state",0.0065400118953994
"choice_prop","stress_binary","alc_today:soft_intend",0.00647345598887322
"choice_prop","stress_binary","stress_binary:soft_today",0.00628904700699242
