"outcome","predictor","variable","h_squared"
"choice_prop","stress_binary","alc_yday:alc_intend:alc_exp_relaxedYes",0.00462679958971121
"choice_prop","stress_binary","alc_yday:alc_today:alc_exp_relaxedYes",0.00207170233651923
"choice_prop","stress_binary","alc_today:alc_intend:alc_craving",0.00161571752042691
"choice_prop","stress_binary","alc_yday:alc_today:alc_intend",0.0014619336124549
"choice_prop","stress_binary","alc_today:alc_intend:alc_exp_relaxedYes",0.00143918783325899
"choice_prop","stress_binary","alc_intend:alc_craving:alc_exp_relaxedYes",0.00111310018879349
"choice_prop","stress_binary","alc_today:alc_craving:alc_exp_relaxedYes",0.000935453991808156
"choice_prop","stress_binary","alc_yday:alc_craving:alc_exp_relaxedYes",0.000924940026312618
"choice_prop","stress_binary","alc_yday:alc_intend:alc_craving",0.000784506054976211
"choice_prop","stress_binary","alc_yday:alc_today:alc_craving",0.000621638974379779
"choice_prop","stress_state","soft_intend:alc_craving:alc_exp_relaxedYes",0.00245577935218244
"choice_prop","stress_state","alc_intend:soft_intend:alc_exp_relaxedYes",0.00224083599604731
"choice_prop","stress_state","alc_today:alc_intend:alc_craving",0.00211947002975222
"choice_prop","stress_state","alc_today:alc_intend:alc_exp_relaxedYes",0.00117956290265822
"choice_prop","stress_state","alc_intend:alc_craving:alc_exp_relaxedYes",0.00101864360593803
"choice_prop","stress_state","alc_today:soft_intend:alc_exp_relaxedYes",0.000856841162623
"choice_prop","stress_state","alc_intend:soft_intend:alc_craving",0.000716251395005001
"choice_prop","stress_state","alc_today:alc_intend:soft_intend",0.000610225424410272
"choice_prop","stress_state","alc_today:soft_intend:alc_craving",0.000473004402656469
"choice_prop","stress_state","alc_today:alc_craving:alc_exp_relaxedYes",0.000465652137774122
"choice_prop","NA_state","alc_yday:alc_intend:alc_exp_relaxedYes",0.00283322995332409
"choice_prop","NA_state","alc_yday:alc_today:alc_intend",0.0010818007100819
"choice_prop","NA_state","alc_yday:alc_today:alc_exp_relaxedYes",0.00102496706970946
"choice_prop","NA_state","alc_today:alc_intend:alc_exp_relaxedYes",0.000788318761869949
"choice_prop","NA_state","alc_today:alc_intend:alc_craving",0.000760808595512065
"choice_prop","NA_state","alc_yday:alc_craving:alc_exp_relaxedYes",0.000669662055376056
"choice_prop","NA_state","alc_intend:alc_craving:alc_exp_relaxedYes",0.000621817930934888
"choice_prop","NA_state","alc_yday:alc_today:alc_craving",0.000554047394071839
"choice_prop","NA_state","alc_yday:alc_intend:alc_craving",0.000460204680128606
"choice_prop","NA_state","alc_today:alc_craving:alc_exp_relaxedYes",0.000361452583653914
"choice_prop","PA_state","alc_yday:alc_intend:alc_exp_relaxedYes",0.0027113577463686
"choice_prop","PA_state","alc_today:alc_intend:alc_exp_relaxedYes",0.00147957888163881
"choice_prop","PA_state","alc_today:alc_intend:alc_craving",0.00126859790163679
"choice_prop","PA_state","alc_yday:alc_today:alc_exp_relaxedYes",0.0011896141775653
"choice_prop","PA_state","alc_yday:alc_today:alc_intend",0.00105257064260824
"choice_prop","PA_state","alc_intend:alc_craving:alc_exp_relaxedYes",0.000866587287735861
"choice_prop","PA_state","alc_yday:alc_today:alc_craving",0.000697956047611279
"choice_prop","PA_state","alc_yday:alc_craving:alc_exp_relaxedYes",0.000693962965330752
"choice_prop","PA_state","alc_today:alc_craving:alc_exp_relaxedYes",0.000434964974534573
"choice_prop","PA_state","alc_yday:alc_intend:alc_craving",0.000330354492868153
"median_rt","stress_binary","alc_yday:soft_yday:soft_today",0.13765104248422
"median_rt","stress_binary","soft_yday:soft_today:alc_intend",0.0950857266441155
"median_rt","stress_binary","soft_yday:alc_today:soft_today",0.0420803289997352
"median_rt","stress_binary","alc_yday:alc_today:alc_intend",0.0101145831937269
"median_rt","stress_binary","alc_yday:soft_today:alc_intend",0.00654754075958771
"median_rt","stress_binary","soft_yday:alc_today:alc_intend",0.00559866932448112
"median_rt","stress_binary","alc_yday:soft_yday:alc_intend",0.00301235023226241
"median_rt","stress_binary","alc_yday:alc_today:soft_today",0.00256278679567183
"median_rt","stress_binary","alc_yday:soft_yday:alc_today",0.00166248678504347
"median_rt","stress_binary","alc_today:soft_today:alc_intend",0.00101919510771129
"median_rt","stress_state","alc_yday:soft_yday:soft_today",0.155870016996735
"median_rt","stress_state","soft_yday:soft_today:alc_intend",0.0562920392007756
"median_rt","stress_state","soft_yday:alc_today:soft_today",0.0495187144051767
"median_rt","stress_state","alc_yday:alc_today:alc_intend",0.017499612159607
"median_rt","stress_state","soft_yday:alc_today:alc_intend",0.00910455484400038
"median_rt","stress_state","alc_yday:soft_today:alc_intend",0.00339378590742272
"median_rt","stress_state","alc_yday:alc_today:soft_today",0.00282178517149161
"median_rt","stress_state","alc_yday:soft_yday:alc_today",0.00247986942265401
"median_rt","stress_state","alc_yday:soft_yday:alc_intend",0.00161361477945036
"median_rt","stress_state","alc_today:soft_today:alc_intend",0.000885080029156264
"median_rt","NA_state","alc_yday:soft_yday:soft_today",0.160851063630276
"median_rt","NA_state","soft_yday:soft_today:alc_intend",0.0857888075077225
"median_rt","NA_state","soft_yday:soft_today:tired_state",0.00441260624036258
"median_rt","NA_state","alc_yday:alc_intend:tired_state",0.00277757116203852
"median_rt","NA_state","alc_yday:soft_today:alc_intend",0.00194741770015156
"median_rt","NA_state","alc_yday:soft_yday:tired_state",0.00182815970349737
"median_rt","NA_state","alc_yday:soft_yday:alc_intend",0.00153077761360215
"median_rt","NA_state","alc_yday:soft_today:tired_state",0.00112483667903747
