"outcome","predictor","lambda_index","lambda_selected","lambda_min_in_grid","lambda_max_in_grid","glmm_raw_rmse","forest_raw_rmse","n_rows"
"choice_prop","stress_binary",16,25,0,100,0.287213945754105,0.192967224639675,5982
"median_rt","stress_binary",18,15,0,100,0.291367053108053,0.237765598375312,5982
"drift","stress_binary",19,10,0,100,0.311380023603102,0.255809656338241,5982
"alcbias","stress_binary",5,160,0,200,1.57034416974015,1.058957067358,5982
"B","stress_binary",8,130,0,200,0.32309649603533,0.297606566634893,5982
"choice_prop","stress_state",11,50,0,100,0.286695638370484,0.191768484683925,5982
"median_rt","stress_state",13,40,0,100,0.290439401300806,0.238424445239335,5982
"drift","stress_state",15,30,0,100,0.307918731304594,0.256038515864038,5982
"alcbias","stress_state",1,200,0,200,1.56349220571981,1.04955205930764,5982
"B","stress_state",5,160,0,200,0.318311729905067,0.292854437229944,5982
"choice_prop","NA_state",15,30,0,100,0.288524596607237,0.191917534111963,5982
"median_rt","NA_state",21,0,0,100,0.290543260887864,0.238262886211066,5982
"drift","NA_state",18,15,0,100,0.307644619196092,0.255464820334577,5982
"alcbias","NA_state",4,170,0,200,1.57362943215499,1.05148076067506,5982
"B","NA_state",9,120,0,200,0.315995641489204,0.290504488816271,5982
"choice_prop","PA_state",6,75,0,100,0.292826135202467,0.191872599767991,5982
"median_rt","PA_state",20,5,0,100,0.287582692000484,0.237242974066866,5982
"drift","PA_state",9,60,0,100,0.309681216947995,0.254128943068572,5982
"alcbias","PA_state",6,150,0,200,1.57373966237353,1.05179771381244,5982
"B","PA_state",6,150,0,200,0.344169008263424,0.315930786331735,5982
