level,predictor,outcome,n,mean,sd
0,stress_binary,prop_alc_responses,4807,0.3354497184428495,0.2664978248103282
1,stress_binary,prop_alc_responses,1166,0.42592664894210264,0.2883259647807009
0,stress_binary,median_rt,4811,0.7773208272708376,0.28168531086330256
1,stress_binary,median_rt,1166,0.7872431389365352,0.2916687540298908
0,stress_binary,B,4673,0.8115686630716489,0.3242860936739357
1,stress_binary,B,1130,0.807473097098785,0.2791362448292666
0,stress_binary,drift,4673,0.3845921879870079,0.3034583210900382
1,stress_binary,drift,1130,0.4030188697629243,0.30366119017462007
0,stress_binary,alcbias,4673,-0.8717101346161942,1.4724064993374073
1,stress_binary,alcbias,1130,-0.39809183457556346,1.561387452560455
0,stress_state,prop_alc_responses,2643,0.3189510502156233,0.27477966237340873
1,stress_state,prop_alc_responses,1727,0.3679329041650783,0.2675081350522891
2,stress_state,prop_alc_responses,970,0.3733862967419849,0.26103617592420214
3,stress_state,prop_alc_responses,486,0.4072857023688732,0.27435516285184114
4,stress_state,prop_alc_responses,147,0.48029903957339204,0.29449695380211244
0,stress_state,median_rt,2647,0.7523605969021534,0.28467667080581033
1,stress_state,median_rt,1727,0.8092168500289519,0.2942354627757266
2,stress_state,median_rt,970,0.8039190721649484,0.26390372947051505
3,stress_state,median_rt,486,0.7942932098765432,0.2597789622189047
4,stress_state,median_rt,147,0.6991292517006803,0.28272431443739277
0,stress_state,B,2548,0.8205770772730995,0.36038695453388525
1,stress_state,B,1690,0.8083163797038608,0.2954134289781793
2,stress_state,B,957,0.8036527136519536,0.2508601243635767
3,stress_state,B,474,0.7981983160609507,0.2647823923508776
4,stress_state,B,134,0.7505838722854464,0.22796141889725385
0,stress_state,drift,2548,0.33988716146434456,0.30517966260646245
1,stress_state,drift,1690,0.421870631484021,0.30042145652309815
2,stress_state,drift,957,0.4345524189337483,0.2927311651027511
3,stress_state,drift,474,0.4294231168078842,0.2958627201417249
4,stress_state,drift,134,0.40450403275905067,0.2863760001132355
0,stress_state,alcbias,2548,-0.9859289167468855,1.588603073118968
1,stress_state,alcbias,1690,-0.6749665892940716,1.420812136223489
2,stress_state,alcbias,957,-0.649691634458565,1.377648955450589
3,stress_state,alcbias,474,-0.47819636372431923,1.3658908724220793
4,stress_state,alcbias,134,-0.16481228187793137,1.5372385318687138
0,NA_state,prop_alc_responses,2587,0.3244436027161946,0.2744151009887685
1,NA_state,prop_alc_responses,1743,0.37038878856815577,0.2664830054647277
2,NA_state,prop_alc_responses,922,0.3538894140987487,0.2668964698531241
3,NA_state,prop_alc_responses,570,0.40032319238567987,0.27320481128169705
4,NA_state,prop_alc_responses,151,0.4618791461012867,0.3015146609743812
0,NA_state,median_rt,2590,0.758161583011583,0.2807596573203567
1,NA_state,median_rt,1743,0.7958858290304074,0.2845388662492634
2,NA_state,median_rt,923,0.8063645720476706,0.2955971465881355
3,NA_state,median_rt,570,0.802771052631579,0.2566822362882851
4,NA_state,median_rt,151,0.6946655629139072,0.3052903193238326
0,NA_state,B,2503,0.8159277175078936,0.3654022029798215
1,NA_state,B,1704,0.801870768327436,0.2717551796856442
2,NA_state,B,902,0.8206914969191079,0.27888254198834783
3,NA_state,B,557,0.80815349957727,0.27105122563667683
4,NA_state,B,137,0.7725902672821834,0.24325929684884126
0,NA_state,drift,2503,0.3490460359668311,0.304197714971324
1,NA_state,drift,1704,0.4249292313253343,0.3039906538028717
2,NA_state,drift,902,0.4125436389286413,0.29345994191099517
3,NA_state,drift,557,0.4188570168345276,0.2939763759806088
4,NA_state,drift,137,0.360958090522468,0.30684171930434023
0,NA_state,alcbias,2503,-0.9431699518141189,1.5581590894959612
1,NA_state,alcbias,1704,-0.678077191631476,1.4522525832230746
2,NA_state,alcbias,902,-0.7565534180698902,1.4085292877918192
3,NA_state,alcbias,557,-0.5348272066722686,1.426947503464182
4,NA_state,alcbias,137,-0.1958932188729432,1.56814025524772
0,PA_state,prop_alc_responses,442,0.4254964996629334,0.29222695115011327
1,PA_state,prop_alc_responses,1312,0.3557153123615777,0.2685013834625514
2,PA_state,prop_alc_responses,2030,0.3490162154321307,0.2652203382536169
3,PA_state,prop_alc_responses,1668,0.3433685022365472,0.2781506190993385
4,PA_state,prop_alc_responses,521,0.33229893952797807,0.27472138005338803
0,PA_state,median_rt,442,0.712064479638009,0.2677849782676075
1,PA_state,median_rt,1312,0.7738990091463415,0.25216437296062844
2,PA_state,median_rt,2032,0.7886050688976378,0.2797439774484091
3,PA_state,median_rt,1669,0.809745656081486,0.3007508238096551
4,PA_state,median_rt,522,0.7157413793103449,0.31038076141420123
0,PA_state,B,409,0.7590179134912011,0.23024870041201775
1,PA_state,B,1289,0.7970579129618193,0.30047844964439435
2,PA_state,B,1987,0.8117646790677755,0.3070787301699965
3,PA_state,B,1635,0.8368487510961308,0.36787401681662607
4,PA_state,B,483,0.7988299388818058,0.25135164049917275
0,PA_state,drift,409,0.41507085521540965,0.31675533216713764
1,PA_state,drift,1289,0.4146868882327103,0.3052650867488806
2,PA_state,drift,1987,0.3985601979661281,0.29710795855774114
3,PA_state,drift,1635,0.3689289713315469,0.3074660583595708
4,PA_state,drift,483,0.3171371782495869,0.28606344714981013
0,PA_state,alcbias,409,-0.41990263813344675,1.5484799255102037
1,PA_state,alcbias,1289,-0.7367811621063924,1.4717770034223037
2,PA_state,alcbias,1987,-0.8049362623056256,1.4662096643945823
3,PA_state,alcbias,1635,-0.8375955707140853,1.5379778759823957
4,PA_state,alcbias,483,-0.8965155773526607,1.5202301252239756
